;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_MHX_desc;We've had a good run, but it's time to end our rulership of Haixi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIK_title;Grant Mikmaq Independence;;;;;;;;;;;;x,,
gtfo_MIK_desc;We've had a good run, but it's time to end our rulership of Mikmaq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIR_title;Grant Imerina Independence;;;;;;;;;;;;x,,
gtfo_MIR_desc;We've had a good run, but it's time to end our rulership of Imerina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIX_title;Grant Mixtec Independence;;;;;;;;;;;;x,,
gtfo_MIX_desc;We've had a good run, but it's time to end our rulership of Mixtec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJP_title;Grant Majapahit Independence;;;;;;;;;;;;x,,
gtfo_MJP_desc;We've had a good run, but it's time to end our rulership of Majapahit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJZ_title;Grant Jianzhou Independence;;;;;;;;;;;;x,,
gtfo_MJZ_desc;We've had a good run, but it's time to end our rulership of Jianzhou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKA_title;Grant Makuria Independence;;;;;;;;;;;;x,,
gtfo_MKA_desc;We've had a good run, but it's time to end our rulership of Makuria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKP_title;Grant Makwanpur Independence;;;;;;;;;;;;x,,
gtfo_MKP_desc;We've had a good run, but it's time to end our rulership of Makwanpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKS_title;Grant Makassar Independence;;;;;;;;;;;;x,,
gtfo_MKS_desc;We've had a good run, but it's time to end our rulership of Makassar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKU_title;Grant Makua Independence;;;;;;;;;;;;x,,
gtfo_MKU_desc;We've had a good run, but it's time to end our rulership of Makua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ML1_title;Grant Malindi Independence;;;;;;;;;;;;x,,
gtfo_ML1_desc;We've had a good run, but it's time to end our rulership of Malindi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLD_title;Grant Maldives Independence;;;;;;;;;;;;x,,
gtfo_MLD_desc;We've had a good run, but it's time to end our rulership of Maldives: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLH_title;Grant Mulhouse Independence;;;;;;;;;;;;x,,
gtfo_MLH_desc;We've had a good run, but it's time to end our rulership of Mulhouse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLI_title;Grant Mali Independence;;;;;;;;;;;;x,,
gtfo_MLI_desc;We've had a good run, but it's time to end our rulership of Mali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLK_title;Grant Karabakh Independence;;;;;;;;;;;;x,,
gtfo_MLK_desc;We've had a good run, but it's time to end our rulership of Karabakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLS_title;Grant Maliseet Independence;;;;;;;;;;;;x,,
gtfo_MLS_desc;We've had a good run, but it's time to end our rulership of Maliseet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLW_title;Grant Maravi Independence;;;;;;;;;;;;x,,
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Maravi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MMA_title;Grant Mong Mao Independence;;;;;;;;;;;;x,,
gtfo_MMA_desc;We've had a good run, but it's time to end our rulership of Mong Mao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MMI_title;Grant Miami Independence;;;;;;;;;;;;x,,
gtfo_MMI_desc;We've had a good run, but it's time to end our rulership of Miami: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNA_title;Grant Maynila Independence;;;;;;;;;;;;x,,
gtfo_MNA_desc;We've had a good run, but it's time to end our rulership of Maynila: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNI_title;Grant Mong Nai Independence;;;;;;;;;;;;x,,
gtfo_MNI_desc;We've had a good run, but it's time to end our rulership of Mong Nai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNP_title;Grant Manipur Independence;;;;;;;;;;;;x,,
gtfo_MNP_desc;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNS_title;Grant Thomond Independence;;;;;;;;;;;;x,,
gtfo_MNS_desc;We've had a good run, but it's time to end our rulership of Thomond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNX_title;Grant Ming Independence;;;;;;;;;;;;x,,
gtfo_MNX_desc;We've had a good run, but it's time to end our rulership of Ming: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOD_title;Grant Modena Independence;;;;;;;;;;;;x,,
gtfo_MOD_desc;We've had a good run, but it's time to end our rulership of Modena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOE_title;Grant Morea Independence;;;;;;;;;;;;x,,
gtfo_MOE_desc;We've had a good run, but it's time to end our rulership of Morea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOH_title;Grant Mohawk Independence;;;;;;;;;;;;x,,
gtfo_MOH_desc;We've had a good run, but it's time to end our rulership of Mohawk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOL_title;Grant Moldavia Independence;;;;;;;;;;;;x,,
gtfo_MOL_desc;We've had a good run, but it's time to end our rulership of Moldavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MON_title;Grant Montenegro Independence;;;;;;;;;;;;x,,
gtfo_MON_desc;We've had a good run, but it's time to end our rulership of Montenegro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOR_title;Grant Morocco Independence;;;;;;;;;;;;x,,
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Morocco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPA_title;Grant Mong Pai Independence;;;;;;;;;;;;x,,
gtfo_MPA_desc;We've had a good run, but it's time to end our rulership of Mong Pai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPC_title;Grant Mapuche Independence;;;;;;;;;;;;x,,
gtfo_MPC_desc;We've had a good run, but it's time to end our rulership of Mapuche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPH_title;Grant Muang Phuan Independence;;;;;;;;;;;;x,,
gtfo_MPH_desc;We've had a good run, but it's time to end our rulership of Muang Phuan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRE_title;Grant Marehan Independence;;;;;;;;;;;;x,,
gtfo_MRE_desc;We've had a good run, but it's time to end our rulership of Marehan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRK_title;Grant Marrakesh Independence;;;;;;;;;;;;x,,
gtfo_MRK_desc;We've had a good run, but it's time to end our rulership of Marrakesh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRV_title;Grant Moravia Independence;;;;;;;;;;;;x,,
gtfo_MRV_desc;We've had a good run, but it's time to end our rulership of Moravia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSC_title;Grant Mescalero Independence;;;;;;;;;;;;x,,
gtfo_MSC_desc;We've had a good run, but it's time to end our rulership of Mescalero: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSG_title;Grant Mississage Independence;;;;;;;;;;;;x,,
gtfo_MSG_desc;We've had a good run, but it's time to end our rulership of Mississage: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSK_title;Grant Miskito Independence;;;;;;;;;;;;x,,
gtfo_MSK_desc;We've had a good run, but it's time to end our rulership of Miskito: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSY_title;Grant Mushasha Independence;;;;;;;;;;;;x,,
gtfo_MSY_desc;We've had a good run, but it's time to end our rulership of Mushasha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTA_title;Grant Mantua Independence;;;;;;;;;;;;x,,
gtfo_MTA_desc;We've had a good run, but it's time to end our rulership of Mantua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTL_title;Grant Matlatzinca Independence;;;;;;;;;;;;x,,
gtfo_MTL_desc;We've had a good run, but it's time to end our rulership of Matlatzinca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUL_title;Grant Multan Independence;;;;;;;;;;;;x,,
gtfo_MUL_desc;We've had a good run, but it's time to end our rulership of Multan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUN_title;Grant Münster Independence;;;;;;;;;;;;x,,
gtfo_MUN_desc;We've had a good run, but it's time to end our rulership of Münster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUS_title;Grant Muscovy Independence;;;;;;;;;;;;x,,
gtfo_MUS_desc;We've had a good run, but it's time to end our rulership of Muscovy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MWT_title;Grant Mewat Independence;;;;;;;;;;;;x,,
gtfo_MWT_desc;We've had a good run, but it's time to end our rulership of Mewat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYA_title;Grant Mong Yang Independence;;;;;;;;;;;;x,,
gtfo_MYA_desc;We've had a good run, but it's time to end our rulership of Mong Yang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYR_title;Grant Xibe Independence;;;;;;;;;;;;x,,
gtfo_MYR_desc;We've had a good run, but it's time to end our rulership of Xibe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYS_title;Grant Mysore Independence;;;;;;;;;;;;x,,
gtfo_MYS_desc;We've had a good run, but it's time to end our rulership of Mysore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MZB_title;Grant Mzab Independence;;;;;;;;;;;;x,,
gtfo_MZB_desc;We've had a good run, but it's time to end our rulership of Mzab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAH_title;Grant Navajo Independence;;;;;;;;;;;;x,,
gtfo_NAH_desc;We've had a good run, but it's time to end our rulership of Navajo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAK_title;Grant Nakawe Independence;;;;;;;;;;;;x,,
gtfo_NAK_desc;We've had a good run, but it's time to end our rulership of Nakawe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAS_title;Grant Nassau Independence;;;;;;;;;;;;x,,
gtfo_NAS_desc;We've had a good run, but it's time to end our rulership of Nassau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAV_title;Grant Navarra Independence;;;;;;;;;;;;x,,
gtfo_NAV_desc;We've had a good run, but it's time to end our rulership of Navarra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAX_title;Grant Naxos Independence;;;;;;;;;;;;x,,
gtfo_NAX_desc;We've had a good run, but it's time to end our rulership of Naxos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NDO_title;Grant Ndongo Independence;;;;;;;;;;;;x,,
gtfo_NDO_desc;We've had a good run, but it's time to end our rulership of Ndongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NEJ_title;Grant Najd Independence;;;;;;;;;;;;x,,
gtfo_NEJ_desc;We've had a good run, but it's time to end our rulership of Najd: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NEV_title;Grant Nevers Independence;;;;;;;;;;;;x,,
gtfo_NEV_desc;We've had a good run, but it's time to end our rulership of Nevers: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NGA_title;Grant Nagaur Independence;;;;;;;;;;;;x,,
gtfo_NGA_desc;We've had a good run, but it's time to end our rulership of Nagaur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NGP_title;Grant Jharkhand Independence;;;;;;;;;;;;x,,
gtfo_NGP_desc;We've had a good run, but it's time to end our rulership of Jharkhand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NHX_title;Grant Orochoni Independence;;;;;;;;;;;;x,,
gtfo_NHX_desc;We've had a good run, but it's time to end our rulership of Orochoni: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NHY_title;Grant Nehiyaw Independence;;;;;;;;;;;;x,,
gtfo_NHY_desc;We've had a good run, but it's time to end our rulership of Nehiyaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NJR_title;Grant Najran Independence;;;;;;;;;;;;x,,
gtfo_NJR_desc;We've had a good run, but it's time to end our rulership of Najran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NKO_title;Grant Nkore Independence;;;;;;;;;;;;x,,
gtfo_NKO_desc;We've had a good run, but it's time to end our rulership of Nkore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NNG_title;Grant Ning Independence;;;;;;;;;;;;x,,
gtfo_NNG_desc;We've had a good run, but it's time to end our rulership of Ning: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOG_title;Grant Nogai Independence;;;;;;;;;;;;x,,
gtfo_NOG_desc;We've had a good run, but it's time to end our rulership of Nogai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOL_title;Grant Northumberland Independence;;;;;;;;;;;;x,,
gtfo_NOL_desc;We've had a good run, but it's time to end our rulership of Northumberland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOR_title;Grant Norway Independence;;;;;;;;;;;;x,,
gtfo_NOR_desc;We've had a good run, but it's time to end our rulership of Norway: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NRM_title;Grant Normandy Independence;;;;;;;;;;;;x,,
gtfo_NRM_desc;We've had a good run, but it's time to end our rulership of Normandy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NTC_title;Grant Natchitoches Independence;;;;;;;;;;;;x,,
gtfo_NTC_desc;We've had a good run, but it's time to end our rulership of Natchitoches: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NTZ_title;Grant Natchez Independence;;;;;;;;;;;;x,,
gtfo_NTZ_desc;We've had a good run, but it's time to end our rulership of Natchez: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NUM_title;Grant Nuremberg Independence;;;;;;;;;;;;x,,
gtfo_NUM_desc;We've had a good run, but it's time to end our rulership of Nuremberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NUP_title;Grant Nupe Independence;;;;;;;;;;;;x,,
gtfo_NUP_desc;We've had a good run, but it's time to end our rulership of Nupe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NVK_title;Grant Nivkh Independence;;;;;;;;;;;;x,,
gtfo_NVK_desc;We've had a good run, but it's time to end our rulership of Nivkh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NVR_title;Grant Navanagar Independence;;;;;;;;;;;;x,,
gtfo_NVR_desc;We've had a good run, but it's time to end our rulership of Navanagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZA_title;Grant Ngati Ranginui Independence;;;;;;;;;;;;x,,
gtfo_NZA_desc;We've had a good run, but it's time to end our rulership of Ngati Ranginui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZH_title;Grant Nizhny Novgorod Independence;;;;;;;;;;;;x,,
gtfo_NZH_desc;We've had a good run, but it's time to end our rulership of Nizhny Novgorod: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZK_title;Grant Ngati Kahungunu Independence;;;;;;;;;;;;x,,
gtfo_NZK_desc;We've had a good run, but it's time to end our rulership of Ngati Kahungunu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZM_title;Grant Ngati Awa Independence;;;;;;;;;;;;x,,
gtfo_NZM_desc;We've had a good run, but it's time to end our rulership of Ngati Awa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZN_title;Grant Tainui Independence;;;;;;;;;;;;x,,
gtfo_NZN_desc;We've had a good run, but it's time to end our rulership of Tainui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZR_title;Grant Ngati Toa Independence;;;;;;;;;;;;x,,
gtfo_NZR_desc;We've had a good run, but it's time to end our rulership of Ngati Toa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZT_title;Grant Ngapuhi Independence;;;;;;;;;;;;x,,
gtfo_NZT_desc;We've had a good run, but it's time to end our rulership of Ngapuhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OAX_title;Grant Coixtlahuaca Independence;;;;;;;;;;;;x,,
gtfo_OAX_desc;We've had a good run, but it's time to end our rulership of Coixtlahuaca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OEO_title;Grant Oneota Independence;;;;;;;;;;;;x,,
gtfo_OEO_desc;We've had a good run, but it's time to end our rulership of Oneota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OGD_title;Grant Ogaadeen Independence;;;;;;;;;;;;x,,
gtfo_OGD_desc;We've had a good run, but it's time to end our rulership of Ogaadeen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OHK_title;Grant Ohkay Owingeh Independence;;;;;;;;;;;;x,,
gtfo_OHK_desc;We've had a good run, but it's time to end our rulership of Ohkay Owingeh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OIR_title;Grant Oirat Independence;;;;;;;;;;;;x,,
gtfo_OIR_desc;We've had a good run, but it's time to end our rulership of Oirat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OJI_title;Grant Ojibwe Independence;;;;;;;;;;;;x,,
gtfo_OJI_desc;We've had a good run, but it's time to end our rulership of Ojibwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OLD_title;Grant Oldenburg Independence;;;;;;;;;;;;x,,
gtfo_OLD_desc;We've had a good run, but it's time to end our rulership of Oldenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OMA_title;Grant Oman Independence;;;;;;;;;;;;x,,
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ONE_title;Grant Oneida Independence;;;;;;;;;;;;x,,
gtfo_ONE_desc;We've had a good run, but it's time to end our rulership of Oneida: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ONO_title;Grant Onondaga Independence;;;;;;;;;;;;x,,
gtfo_ONO_desc;We've had a good run, but it's time to end our rulership of Onondaga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORD_title;Grant Ormond Independence;;;;;;;;;;;;x,,
gtfo_ORD_desc;We've had a good run, but it's time to end our rulership of Ormond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORI_title;Grant Orissa Independence;;;;;;;;;;;;x,,
gtfo_ORI_desc;We've had a good run, but it's time to end our rulership of Orissa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORL_title;Grant Orleans Independence;;;;;;;;;;;;x,,
gtfo_ORL_desc;We've had a good run, but it's time to end our rulership of Orleans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORM_title;Grant Hormuz Independence;;;;;;;;;;;;x,,
gtfo_ORM_desc;We've had a good run, but it's time to end our rulership of Hormuz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OSA_title;Grant Osage Independence;;;;;;;;;;;;x,,
gtfo_OSA_desc;We've had a good run, but it's time to end our rulership of Osage: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OSH_title;Grant Osheaga Independence;;;;;;;;;;;;x,,
gtfo_OSH_desc;We've had a good run, but it's time to end our rulership of Osheaga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OTO_title;Grant Otomi Independence;;;;;;;;;;;;x,,
gtfo_OTO_desc;We've had a good run, but it's time to end our rulership of Otomi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OTT_title;Grant Ottawa Independence;;;;;;;;;;;;x,,
gtfo_OTT_desc;We've had a good run, but it's time to end our rulership of Ottawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OYO_title;Grant Oyo Independence;;;;;;;;;;;;x,,
gtfo_OYO_desc;We've had a good run, but it's time to end our rulership of Oyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAD_title;Grant Paderborn Independence;;;;;;;;;;;;x,,
gtfo_PAD_desc;We've had a good run, but it's time to end our rulership of Paderborn: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAL_title;Grant The Palatinate Independence;;;;;;;;;;;;x,,
gtfo_PAL_desc;We've had a good run, but it's time to end our rulership of The Palatinate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAP_title;Grant The Papal State Independence;;;;;;;;;;;;x,,
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of The Papal State: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAR_title;Grant Parma Independence;;;;;;;;;;;;x,,
gtfo_PAR_desc;We've had a good run, but it's time to end our rulership of Parma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAT_title;Grant Pattani Independence;;;;;;;;;;;;x,,
gtfo_PAT_desc;We've had a good run, but it's time to end our rulership of Pattani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAW_title;Grant Pawnee Independence;;;;;;;;;;;;x,,
gtfo_PAW_desc;We've had a good run, but it's time to end our rulership of Pawnee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PCA_title;Grant Pacaha Independence;;;;;;;;;;;;x,,
gtfo_PCA_desc;We've had a good run, but it's time to end our rulership of Pacaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PCJ_title;Grant Pacajes Independence;;;;;;;;;;;;x,,
gtfo_PCJ_desc;We've had a good run, but it's time to end our rulership of Pacajes: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEG_title;Grant Pegu Independence;;;;;;;;;;;;x,,
gtfo_PEG_desc;We've had a good run, but it's time to end our rulership of Pegu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEN_title;Grant Penobscot Independence;;;;;;;;;;;;x,,
gtfo_PEN_desc;We've had a good run, but it's time to end our rulership of Penobscot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEO_title;Grant Peoria Independence;;;;;;;;;;;;x,,
gtfo_PEO_desc;We've had a good run, but it's time to end our rulership of Peoria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEQ_title;Grant Pequot Independence;;;;;;;;;;;;x,,
gtfo_PEQ_desc;We've had a good run, but it's time to end our rulership of Pequot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGA_title;Grant Perugia Independence;;;;;;;;;;;;x,,
gtfo_PGA_desc;We've had a good run, but it's time to end our rulership of Perugia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGR_title;Grant Pagarruyung Independence;;;;;;;;;;;;x,,
gtfo_PGR_desc;We've had a good run, but it's time to end our rulership of Pagarruyung: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGS_title;Grant Pangasinan Independence;;;;;;;;;;;;x,,
gtfo_PGS_desc;We've had a good run, but it's time to end our rulership of Pangasinan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PHA_title;Grant UU Independence;;;;;;;;;;;;x,,
gtfo_PHA_desc;We've had a good run, but it's time to end our rulership of UU: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PHG_title;Grant Pahang Independence;;;;;;;;;;;;x,,
gtfo_PHG_desc;We've had a good run, but it's time to end our rulership of Pahang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PIC_title;Grant Picardy Independence;;;;;;;;;;;;x,,
gtfo_PIC_desc;We've had a good run, but it's time to end our rulership of Picardy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PIM_title;Grant Pima Independence;;;;;;;;;;;;x,,
gtfo_PIM_desc;We've had a good run, but it's time to end our rulership of Pima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PIS_title;Grant Pisa Independence;;;;;;;;;;;;x,,
gtfo_PIS_desc;We've had a good run, but it's time to end our rulership of Pisa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLB_title;Grant Palembang Independence;;;;;;;;;;;;x,,
gtfo_PLB_desc;We've had a good run, but it's time to end our rulership of Palembang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLT_title;Grant Polotsk Independence;;;;;;;;;;;;x,,
gtfo_PLT_desc;We've had a good run, but it's time to end our rulership of Polotsk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNJ_title;Grant Punjab Independence;;;;;;;;;;;;x,,
gtfo_PNJ_desc;We've had a good run, but it's time to end our rulership of Punjab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNN_title;Grant Kalinjar Independence;;;;;;;;;;;;x,,
gtfo_PNN_desc;We've had a good run, but it's time to end our rulership of Kalinjar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POL_title;Grant Poland Independence;;;;;;;;;;;;x,,
gtfo_POL_desc;We've had a good run, but it's time to end our rulership of Poland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POR_title;Grant Portugal Independence;;;;;;;;;;;;x,,
gtfo_POR_desc;We've had a good run, but it's time to end our rulership of Portugal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POT_title;Grant Potawatomi Independence;;;;;;;;;;;;x,,
gtfo_POT_desc;We've had a good run, but it's time to end our rulership of Potawatomi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POW_title;Grant Powhatan Independence;;;;;;;;;;;;x,,
gtfo_POW_desc;We've had a good run, but it's time to end our rulership of Powhatan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRB_title;Grant Porbandar Independence;;;;;;;;;;;;x,,
gtfo_PRB_desc;We've had a good run, but it's time to end our rulership of Porbandar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRD_title;Grant Parlakhimidi Independence;;;;;;;;;;;;x,,
gtfo_PRD_desc;We've had a good run, but it's time to end our rulership of Parlakhimidi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRK_title;Grant Perak Independence;;;;;;;;;;;;x,,
gtfo_PRK_desc;We've had a good run, but it's time to end our rulership of Perak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRM_title;Grant Perm Independence;;;;;;;;;;;;x,,
gtfo_PRM_desc;We've had a good run, but it's time to end our rulership of Perm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRO_title;Grant Provence Independence;;;;;;;;;;;;x,,
gtfo_PRO_desc;We've had a good run, but it's time to end our rulership of Provence: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRU_title;Grant Prussia Independence;;;;;;;;;;;;x,,
gtfo_PRU_desc;We've had a good run, but it's time to end our rulership of Prussia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PSA_title;Grant Pasai Independence;;;;;;;;;;;;x,,
gtfo_PSA_desc;We've had a good run, but it's time to end our rulership of Pasai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PSK_title;Grant Pskov Independence;;;;;;;;;;;;x,,
gtfo_PSK_desc;We've had a good run, but it's time to end our rulership of Pskov: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTA_title;Grant Patiala Independence;;;;;;;;;;;;x,,
gtfo_PTA_desc;We've had a good run, but it's time to end our rulership of Patiala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTE_title;Grant Pate Independence;;;;;;;;;;;;x,,
gtfo_PTE_desc;We've had a good run, but it's time to end our rulership of Pate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTL_title;Grant Palitana Independence;;;;;;;;;;;;x,,
gtfo_PTL_desc;We've had a good run, but it's time to end our rulership of Palitana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTT_title;Grant Patna Independence;;;;;;;;;;;;x,,
gtfo_PTT_desc;We've had a good run, but it's time to end our rulership of Patna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTW_title;Grant Potiguara Independence;;;;;;;;;;;;x,,
gtfo_PTW_desc;We've had a good run, but it's time to end our rulership of Potiguara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QAR_title;Grant Qara Qoyunlu Independence;;;;;;;;;;;;x,,
gtfo_QAR_desc;We've had a good run, but it's time to end our rulership of Qara Qoyunlu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QAS_title;Grant Qasim Independence;;;;;;;;;;;;x,,
gtfo_QAS_desc;We've had a good run, but it's time to end our rulership of Qasim: if you love something, let it go!;;;;;;;;;;;;x
